================================================================================
POKEMON GOLD/SILVER (GENERATION II) REFERENCE DATA
================================================================================
Sources: Bulbapedia (bulbapedia.bulbagarden.net)
Note: All data reflects Generation II (Gold/Silver/Crystal) values.
In Gen 2, move category is determined by TYPE:
  Physical types: Normal, Fighting, Poison, Ground, Flying, Bug, Rock, Ghost, Steel
  Special types:  Fire, Water, Grass, Electric, Ice, Psychic, Dragon, Dark

================================================================================
PART 1: MOVE DATA
================================================================================

Format: # | Name | Type | Category | Power | Accuracy | PP | Priority | Effect
  - Power: 0 = status move, -- = variable
  - Accuracy: -- = never-miss
  - Priority: 0 unless noted

--- GEN 1 MOVES (1-165) ---

001 | Pound          | Normal   | Physical |  40 | 100% | 35 |  0 | No additional effect.
002 | Karate Chop    | Fighting | Physical |  50 | 100% | 25 |  0 | High critical-hit ratio.
003 | Double Slap    | Normal   | Physical |  15 |  85% | 10 |  0 | Hits 2-5 times.
004 | Comet Punch    | Normal   | Physical |  18 |  85% | 15 |  0 | Hits 2-5 times.
005 | Mega Punch     | Normal   | Physical |  80 |  85% | 20 |  0 | No additional effect.
006 | Pay Day        | Normal   | Physical |  40 | 100% | 20 |  0 | Scatters coins equal to 2x user's level.
007 | Fire Punch     | Fire     | Special  |  75 | 100% | 15 |  0 | 10% chance to burn.
008 | Ice Punch      | Ice      | Special  |  75 | 100% | 15 |  0 | 10% chance to freeze.
009 | Thunder Punch  | Electric | Special  |  75 | 100% | 15 |  0 | 10% chance to paralyze.
010 | Scratch        | Normal   | Physical |  40 | 100% | 35 |  0 | No additional effect.
011 | Vise Grip      | Normal   | Physical |  55 | 100% | 30 |  0 | No additional effect.
012 | Guillotine     | Normal   | Physical |  -- |  30% |  5 |  0 | OHKO move. Fails if user is slower.
013 | Razor Wind     | Normal   | Physical |  80 |  75% | 10 |  0 | Charges turn 1, attacks turn 2. High crit ratio.
014 | Swords Dance   | Normal   | Status   |   0 |  --  | 30 |  0 | Raises user's Attack by 2 stages.
015 | Cut            | Normal   | Physical |  50 |  95% | 30 |  0 | No additional effect. HM01.
016 | Gust           | Flying   | Physical |  40 | 100% | 35 |  0 | No additional effect.
017 | Wing Attack    | Flying   | Physical |  60 | 100% | 35 |  0 | No additional effect.
018 | Whirlwind      | Normal   | Status   |   0 | 100% | 20 | -6 | Forces wild Pokemon to flee; switches trainer Pokemon.
019 | Fly            | Flying   | Physical |  70 |  95% | 15 |  0 | Flies up turn 1, attacks turn 2. HM02.
020 | Bind           | Normal   | Physical |  15 |  75% | 20 |  0 | Traps target for 2-5 turns.
021 | Slam           | Normal   | Physical |  80 |  75% | 20 |  0 | No additional effect.
022 | Vine Whip      | Grass    | Special  |  35 | 100% | 10 |  0 | No additional effect.
023 | Stomp          | Normal   | Physical |  65 | 100% | 20 |  0 | 30% chance to flinch.
024 | Double Kick    | Fighting | Physical |  30 | 100% | 30 |  0 | Hits exactly 2 times.
025 | Mega Kick      | Normal   | Physical | 120 |  75% |  5 |  0 | No additional effect.
026 | Jump Kick      | Fighting | Physical |  70 |  95% | 25 |  0 | User takes 1/8 max HP crash damage on miss.
027 | Rolling Kick   | Fighting | Physical |  60 |  85% | 15 |  0 | 30% chance to flinch.
028 | Sand Attack    | Ground   | Status   |   0 | 100% | 15 |  0 | Lowers target's accuracy by 1 stage.
029 | Headbutt       | Normal   | Physical |  70 | 100% | 15 |  0 | 30% chance to flinch.
030 | Horn Attack    | Normal   | Physical |  65 | 100% | 25 |  0 | No additional effect.
